source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,rel_lum_g
4116621944505005952,264.08435833585276,0.0362878,-23.26659843860056,0.02745312,0.26224843220850796,0.03952,3.7184358128249895,4.762973502854635,14.766666,16.951757,13.407671,3.5440865,37509.273,339511562024.5737
4172612065829271680,272.8471275957055,0.027126374,-6.825809125586206,0.025242629,0.2403300400053996,0.030414792,22.246832215264263,5.707084402532169,14.956898,17.107727,13.623267,3.4844599,30019.941,339290262980.31024
519299277379178752,26.887750314856902,0.016338592,66.89026328843178,0.019887757,0.8100760839329695,0.023736164,128.40916348060856,4.617114978047994,12.322713,14.553863,10.978264,3.5755987,35000.484,337916839330.6433
4056308367231654016,269.3397448683315,0.0420093,-29.7120774621702,0.035455775,0.20919535735804462,0.037965406,0.638949796678692,-2.596239265784931,15.263553,17.297825,13.920626,3.3771992,30009.0,337614971750.6365
4041820514849015808,266.6382437046722,0.03525633,-33.82115274160187,0.026668683,0.23826786863110988,0.040507495,355.9283610688363,-2.708640660941642,14.983475,17.05075,13.628588,3.422163,30012.922,336841742479.5652
4255807643967779968,284.72332388402316,0.03309698,-3.0212720856202826,0.035600048,0.21860151474093467,0.043688715,31.08992152171175,-3.034632345661337,15.175462,17.392921,13.791589,3.6013327,30007.254,335317042485.3692
4257785901563620864,279.3378006341516,0.026035102,-3.614481666861494,0.025730312,0.2751998438681196,0.031035898,28.10828065553568,1.4791611680613364,14.677484,16.812162,13.33419,3.477972,36961.207,334701050457.1167
4145042739543878144,270.3616933035591,0.029467734,-16.433710979046495,0.024968926,0.25458171075909136,0.032172102,12.630028566019481,3.194558774657907,14.846759,17.127663,13.480563,3.6470995,30042.43,334648583008.332
4156475564456416640,278.7406533576355,0.030045139,-8.56323614531455,0.02823611,0.33411302736313586,0.030403053,23.440039761862447,-0.26845666367166593,14.26036,16.514221,12.906092,3.6081295,34747.96,333438827268.6517
4065400778637564800,273.60403660498724,0.03549827,-24.642664571801234,0.031084076,0.19887253771155175,0.036458116,6.921313897150141,-3.4409669325432204,15.390481,17.527449,14.056451,3.4709978,32852.086,332356871630.56165
2164526872824370944,318.0143005928141,0.022821289,47.70980008933707,0.023168141,0.25737683979663406,0.027446216,89.55348180895022,-0.42996945684373106,14.836032,17.029348,13.487763,3.541585,30034.02,330670164833.46
5969436643687816064,250.53278315133988,0.034589328,-39.48725228829705,0.018360233,0.2201985441095086,0.040896136,343.78420307822995,4.435344672875352,15.175275,17.409134,13.8232155,3.5859184,37364.586,330527753775.73193
4103964156118734976,277.1472435725185,0.037938017,-15.05150666678001,0.033515103,0.21121024076844008,0.041820616,16.964227502233975,-1.8836332106519311,15.268917,17.433176,13.894901,3.5382748,30018.523,329571789286.4457
4065544127463805440,274.41464207785015,0.032328144,-23.884861238187856,0.027346868,0.2458796546034109,0.034162086,7.940494103477002,-3.733733492472475,14.939689,16.515474,13.659505,2.8559694,30115.547,329326137202.1739
4064931802570483456,272.98167994641847,0.031671166,-25.63369397182359,0.027162714,0.2331498624131813,0.033980127,5.779522421880539,-3.4178461876495096,15.055316,16.891668,13.768841,3.1228275,31611.252,329268332159.76306
5877538985173652608,219.4560640993048,0.018631047,-61.872606151596756,0.023712957,0.2905816404895268,0.032980718,315.1211046604104,-1.5449427334881456,14.57887,16.806324,13.204705,3.6016188,30008.045,328747624894.18695
4043212049875800960,268.22542551711075,0.035055634,-33.17351274607444,0.029995155,0.24334793142151212,0.036046676,357.163854047532,-3.5144170575203315,14.964422,17.012207,13.626695,3.3855124,30036.36,328641508970.6025
4310799752371870976,284.95505435658083,0.023853924,9.228868363726042,0.026892744,0.7872239479922207,0.030572377,42.09974994291471,2.3502159033653425,12.417049,14.5748,11.0891695,3.48563,30005.277,328042729022.9711
3120757390854671744,98.23243773672719,0.029594108,1.0837629872798342,0.028514346,0.23960339420971963,0.034291532,209.85262798322825,-3.621063183183782,15.000962,17.232937,13.648266,3.584671,31486.654,327774971214.6505
4173462538076114048,273.5000531675391,0.025768341,-4.907350064550321,0.023992766,0.4497082659379998,0.029110758,24.255474493424163,6.038619669857897,13.6355505,15.861925,12.283298,3.5786276,30032.502,327238923721.26666
4059511210246159872,261.19618224954974,0.03355093,-29.33844665873934,0.023488361,0.20637743883273266,0.03713424,357.2022049901384,3.611155273706205,15.329939,17.522488,13.979388,3.5430994,30012.395,326322331830.242
4059388236735880448,259.8038527343585,0.038160063,-29.274519188855514,0.024119789,0.21220509838528334,0.04015284,356.567538286348,4.649173152890611,15.273668,17.306507,13.954364,3.3521433,32845.56,325063199215.69055
4068715600040301824,267.9243057316954,0.032531243,-22.823792672561847,0.025517298,0.26942232506733443,0.03709583,5.943327986453671,1.9792923576052337,14.7553835,16.94331,13.402437,3.5408726,30016.15,325032083002.36096
4116334177321290240,264.92962285756596,0.033394463,-24.100256591948952,0.025507089,0.20224363129811754,0.037275456,3.422984183509355,3.6641821613819903,15.380184,17.438963,14.042846,3.3961172,30014.832,324431696475.4848
522969614694676864,15.063521431603096,0.024378328,63.10209176331177,0.027177196,0.19273991784736666,0.034604963,123.92884678265293,0.24740832189389686,15.486345,17.66888,14.094133,3.574747,30009.23,323940396776.4764
4172638999548298112,272.92986742868004,0.029287647,-6.677617426015055,0.02779231,0.7747686204922125,0.033591848,22.417107279768974,5.704840288455176,12.467507,14.591849,11.1435375,3.4483118,35000.176,323295650753.72253
4063160145737160192,271.1184079586013,0.03657027,-27.03181366029786,0.030300101,0.25815518804968385,0.03768217,3.7455561811596683,-2.631926085258351,14.860381,16.78603,13.496454,3.2895756,30008.672,321390047628.1467
4119769159087836416,265.3652601604987,0.034132816,-19.98397911279245,0.026756244,0.28784582094056743,0.036327768,7.148428778313707,5.485516797501072,14.62772,16.828573,13.221321,3.6072521,30033.26,320286728234.8191
4146078032787501184,272.195380787079,0.03480773,-15.164446805380946,0.031797037,0.23166306559650787,0.042411536,14.601172163129824,2.273942587359123,15.111823,17.300648,13.748928,3.5517197,30110.621,316594810190.88196
4116985191318446080,265.79794068800595,0.033204168,-22.29620962311447,0.025836738,0.2303120372353858,0.03651505,5.381488187284409,3.933613920174482,15.130713,17.130856,13.778633,3.3522224,37199.785,314795149078.79626
